Date,Open,High,Low,Close,Adj Close,Volume,Weekday
09-17-2003,1.3814,1.384,1.3743,1.3807,1.3807,0.0,2
09-18-2003,1.3802,1.3868,1.3747,1.3858,1.3858,0.0,3
09-19-2003,1.3856,1.3865,1.3653,1.3669,1.3669,0.0,4
09-22-2003,1.3563,1.3632,1.3502,1.3528,1.3528,0.0,0
09-23-2003,1.3527,1.3597,1.3419,1.3587,1.3587,0.0,1
09-24-2003,1.3584,1.3593,1.3407,1.352,1.352,0.0,2
09-25-2003,1.3519,1.3542,1.3412,1.3447,1.3447,0.0,3
09-26-2003,1.3445,1.3487,1.341,1.3425,1.3425,0.0,4
09-29-2003,1.3453,1.3594,1.3198,1.3236,1.3236,0.0,0
09-30-2003,1.3228,1.3336,1.3097,1.3175,1.3175,0.0,1
10-01-2003,1.3174,1.3225,1.3117,1.3152,1.3152,0.0,2
10-02-2003,1.3146,1.3212,1.3106,1.3181,1.3181,0.0,3
10-03-2003,1.3186,1.3385,1.3157,1.3367,1.3367,0.0,4
10-06-2003,1.3359,1.3389,1.3178,1.3194,1.3194,0.0,0
10-07-2003,1.3195,1.3213,1.3111,1.3142,1.3142,0.0,1
10-08-2003,1.3141,1.3163,1.3064,1.3109,1.3109,0.0,2
10-09-2003,1.3108,1.3238,1.3051,1.3179,1.3179,0.0,3
10-10-2003,1.3173,1.3285,1.3062,1.3132,1.3132,0.0,4
10-13-2003,1.3105,1.3273,1.3102,1.3228,1.3228,0.0,0
10-14-2003,1.3226,1.3354,1.3134,1.3164,1.3164,0.0,1
10-15-2003,1.3163,1.3338,1.315,1.331,1.331,0.0,2
10-16-2003,1.3309,1.3372,1.322,1.3346,1.3346,0.0,3
10-17-2003,1.3346,1.3444,1.3262,1.3266,1.3266,0.0,4
10-20-2003,1.3262,1.3375,1.3257,1.332,1.332,0.0,0
10-21-2003,1.3327,1.3366,1.3266,1.3302,1.3302,0.0,1
10-22-2003,1.3305,1.3388,1.3113,1.3115,1.3115,0.0,2
10-23-2003,1.3123,1.3165,1.3047,1.309,1.309,0.0,3
10-24-2003,1.3094,1.3153,1.3033,1.3124,1.3124,0.0,4
10-27-2003,1.3159,1.3193,1.3127,1.3179,1.3179,0.0,0
10-28-2003,1.3182,1.332,1.311,1.3312,1.3312,0.0,1
10-29-2003,1.3315,1.3321,1.322,1.3305,1.3305,0.0,2
10-30-2003,1.3305,1.3347,1.3173,1.3336,1.3336,0.0,3
10-31-2003,1.3325,1.3424,1.3301,1.3382,1.3382,0.0,4
11-03-2003,1.3398,1.364,1.3365,1.3598,1.3598,0.0,0
11-04-2003,1.3601,1.3654,1.3573,1.3643,1.3643,0.0,1
11-05-2003,1.3642,1.372,1.3607,1.3708,1.3708,0.0,2
11-06-2003,1.3706,1.3783,1.361,1.3779,1.3779,0.0,3
11-07-2003,1.3779,1.3798,1.3604,1.3669,1.3669,0.0,4
11-10-2003,1.3673,1.3747,1.3625,1.3741,1.3741,0.0,0
11-11-2003,1.3741,1.3749,1.3587,1.3623,1.3623,0.0,1
11-12-2003,1.3622,1.3625,1.345,1.3494,1.3494,0.0,2
11-13-2003,1.3494,1.3509,1.3343,1.3352,1.3352,0.0,3
11-14-2003,1.3353,1.3376,1.3257,1.3267,1.3267,0.0,4
11-17-2003,1.3198,1.3284,1.3173,1.3252,1.3252,0.0,0
11-18-2003,1.325,1.326,1.291,1.2937,1.2937,0.0,1
11-19-2003,1.2936,1.3091,1.2903,1.3056,1.3056,0.0,2
11-20-2003,1.3058,1.3095,1.2923,1.3007,1.3007,0.0,3
11-21-2003,1.3006,1.304,1.2946,1.2983,1.2983,0.0,4
11-24-2003,1.2986,1.321,1.2966,1.3185,1.3185,0.0,0
11-25-2003,1.3184,1.3217,1.3141,1.3194,1.3194,0.0,1
11-26-2003,1.3193,1.3193,1.2916,1.2941,1.2941,0.0,2
11-27-2003,1.2942,1.3023,1.2939,1.2989,1.2989,0.0,3
11-28-2003,1.2989,1.3003,1.2879,1.2911,1.2911,0.0,4
12-01-2003,1.2871,1.301,1.2865,1.2981,1.2981,0.0,0
12-02-2003,1.2979,1.3037,1.2845,1.2872,1.2872,0.0,1
12-03-2003,1.2872,1.2911,1.2821,1.2852,1.2852,0.0,2
12-04-2003,1.2856,1.2958,1.2803,1.2885,1.2885,0.0,3
12-05-2003,1.2883,1.2916,1.2724,1.2724,1.2724,0.0,4
12-08-2003,1.2751,1.278,1.2633,1.2674,1.2674,0.0,0
12-09-2003,1.2673,1.2701,1.2593,1.2632,1.2632,0.0,1
12-10-2003,1.2632,1.274,1.2602,1.269,1.269,0.0,2
12-11-2003,1.2691,1.2812,1.2663,1.2689,1.2689,0.0,3
12-12-2003,1.269,1.271,1.2511,1.2619,1.2619,0.0,4
12-15-2003,1.2749,1.2757,1.2594,1.2605,1.2605,0.0,0
12-16-2003,1.2609,1.2687,1.2564,1.2594,1.2594,0.0,1
12-17-2003,1.2598,1.2673,1.2512,1.2538,1.2538,0.0,2
12-18-2003,1.2539,1.2678,1.2477,1.25,1.25,0.0,3
12-19-2003,1.2502,1.2601,1.2489,1.2548,1.2548,0.0,4
12-22-2003,1.2571,1.2584,1.2494,1.2575,1.2575,0.0,0
12-23-2003,1.2579,1.2601,1.2546,1.2567,1.2567,0.0,1
12-24-2003,1.2568,1.259,1.245,1.2478,1.2478,0.0,2
12-25-2003,1.2473,1.2494,1.2459,1.2477,1.2477,0.0,3
12-26-2003,1.2474,1.2556,1.2456,1.2549,1.2549,0.0,4
12-29-2003,1.2537,1.2592,1.2456,1.2496,1.2496,0.0,0
12-30-2003,1.2495,1.253,1.2404,1.2426,1.2426,0.0,1
12-31-2003,1.2423,1.2466,1.2312,1.2366,1.2366,0.0,2
01-01-2004,1.2366,1.2451,1.2361,1.2403,1.2403,0.0,3
01-02-2004,1.2401,1.2456,1.2345,1.24,1.24,0.0,4
01-05-2004,1.2356,1.2356,1.2283,1.232,1.232,0.0,0
01-06-2004,1.2319,1.2335,1.2243,1.2319,1.2319,0.0,1
01-07-2004,1.2321,1.2411,1.2305,1.2395,1.2395,0.0,2
01-08-2004,1.2396,1.2486,1.224,1.2266,1.2266,0.0,3
01-09-2004,1.2267,1.233,1.2162,1.2212,1.2212,0.0,4
01-12-2004,1.2193,1.2296,1.214,1.2277,1.2277,0.0,0
01-13-2004,1.2275,1.2301,1.2192,1.2195,1.2195,0.0,1
01-14-2004,1.2199,1.2354,1.213,1.232,1.232,0.0,2
01-15-2004,1.2321,1.247,1.2304,1.2431,1.2431,0.0,3
01-16-2004,1.2432,1.2691,1.2424,1.2637,1.2637,0.0,4
01-19-2004,1.2663,1.2719,1.2629,1.2706,1.2706,0.0,0
01-20-2004,1.2709,1.2711,1.2447,1.2457,1.2457,0.0,1
01-21-2004,1.2463,1.2505,1.2365,1.2375,1.2375,0.0,2
01-22-2004,1.2377,1.241,1.2295,1.2319,1.2319,0.0,3
01-23-2004,1.2321,1.2464,1.2275,1.2414,1.2414,0.0,4
01-26-2004,1.2432,1.2581,1.2405,1.255,1.255,0.0,0
01-27-2004,1.2552,1.2588,1.2378,1.24,1.24,0.0,1
01-28-2004,1.2401,1.2601,1.2393,1.2579,1.2579,0.0,2
01-29-2004,1.258,1.2636,1.2479,1.2591,1.2591,0.0,3
01-30-2004,1.2591,1.2656,1.2514,1.2525,1.2525,0.0,4
02-02-2004,1.2569,1.2657,1.2555,1.261,1.261,0.0,0
02-03-2004,1.2614,1.2627,1.2425,1.2483,1.2483,0.0,1
02-04-2004,1.2488,1.2549,1.2473,1.2505,1.2505,0.0,2
02-05-2004,1.2504,1.252,1.2401,1.2482,1.2482,0.0,3
02-06-2004,1.2479,1.2544,1.2305,1.2349,1.2349,0.0,4
02-09-2004,1.2388,1.2394,1.2296,1.2354,1.2354,0.0,0
02-10-2004,1.2353,1.2394,1.2259,1.2375,1.2375,0.0,1
02-11-2004,1.2373,1.2428,1.2272,1.2292,1.2292,0.0,2
02-12-2004,1.2288,1.2326,1.227,1.23,1.23,0.0,3
02-13-2004,1.2299,1.2401,1.2239,1.2389,1.2389,0.0,4
02-16-2004,1.2377,1.2389,1.2317,1.2342,1.2342,0.0,0
02-17-2004,1.2343,1.235,1.2223,1.2255,1.2255,0.0,1
02-18-2004,1.2253,1.244,1.2183,1.238,1.238,0.0,2
02-19-2004,1.2377,1.2462,1.2336,1.2349,1.2349,0.0,3
02-20-2004,1.2347,1.2643,1.2343,1.2597,1.2597,0.0,4
02-23-2004,1.2626,1.2666,1.2531,1.2551,1.2551,0.0,0
02-24-2004,1.255,1.2598,1.2376,1.2424,1.2424,0.0,1
02-25-2004,1.2422,1.2615,1.2392,1.259,1.259,0.0,2
02-26-2004,1.2591,1.2705,1.2573,1.2662,1.2662,0.0,3
02-27-2004,1.2665,1.2756,1.2607,1.2614,1.2614,0.0,4
03-01-2004,1.2576,1.2707,1.2563,1.2684,1.2684,0.0,0
03-02-2004,1.2685,1.2985,1.2672,1.2974,1.2974,0.0,1
03-03-2004,1.2972,1.3075,1.2909,1.2936,1.2936,0.0,2
03-04-2004,1.2938,1.3008,1.2892,1.2919,1.2919,0.0,3
03-05-2004,1.2917,1.2959,1.2682,1.2782,1.2782,0.0,4
03-08-2004,1.2766,1.281,1.2717,1.2718,1.2718,0.0,0
03-09-2004,1.272,1.2853,1.2675,1.2814,1.2814,0.0,1
03-10-2004,1.2811,1.2919,1.277,1.2878,1.2878,0.0,2
03-11-2004,1.287,1.2922,1.2628,1.2668,1.2668,0.0,3
03-12-2004,1.2666,1.2873,1.2653,1.2833,1.2833,0.0,4
03-15-2004,1.2803,1.2825,1.27,1.2743,1.2743,0.0,0
03-16-2004,1.2746,1.2805,1.2661,1.2787,1.2787,0.0,1
03-17-2004,1.2793,1.2858,1.2736,1.2782,1.2782,0.0,2
03-18-2004,1.2783,1.2783,1.2528,1.257,1.257,0.0,3
03-19-2004,1.2566,1.2736,1.2557,1.2697,1.2697,0.0,4
03-22-2004,1.2699,1.2759,1.2535,1.2567,1.2567,0.0,0
03-23-2004,1.2565,1.265,1.252,1.2565,1.2565,0.0,1
03-24-2004,1.2564,1.279,1.2544,1.2766,1.2766,0.0,2
03-25-2004,1.2766,1.2821,1.2725,1.2799,1.2799,0.0,3
03-26-2004,1.2798,1.2888,1.2739,1.2837,1.2837,0.0,4
03-29-2004,1.285,1.2904,1.2819,1.2836,1.2836,0.0,0
03-30-2004,1.2835,1.2846,1.2756,1.281,1.281,0.0,1
03-31-2004,1.281,1.2819,1.2636,1.266,1.266,0.0,2
04-01-2004,1.2659,1.2709,1.2598,1.2629,1.2629,0.0,3
04-02-2004,1.2628,1.2931,1.2625,1.2917,1.2917,0.0,4
04-05-2004,1.2922,1.3078,1.2908,1.3045,1.3045,0.0,0
04-06-2004,1.3044,1.3074,1.2848,1.2863,1.2863,0.0,1
04-07-2004,1.2863,1.296,1.2729,1.2776,1.2776,0.0,2
04-08-2004,1.2778,1.2858,1.2711,1.283,1.283,0.0,3
04-09-2004,1.2829,1.2843,1.2795,1.2822,1.2822,0.0,4
04-12-2004,1.281,1.2868,1.2808,1.2832,1.2832,0.0,0
04-13-2004,1.2831,1.3046,1.2824,1.3,1.3,0.0,1
04-14-2004,1.3002,1.3046,1.2965,1.2992,1.2992,0.0,2
04-15-2004,1.2992,1.3045,1.289,1.2944,1.2944,0.0,3
04-16-2004,1.2945,1.3026,1.288,1.2955,1.2955,0.0,4
04-19-2004,1.2905,1.2928,1.2829,1.2917,1.2917,0.0,0
04-20-2004,1.2945,1.3156,1.2916,1.3137,1.3137,0.0,1
04-21-2004,1.3139,1.3173,1.3047,1.3163,1.3163,0.0,2
04-22-2004,1.3166,1.3184,1.3062,1.3066,1.3066,0.0,3
04-23-2004,1.3076,1.3203,1.3055,1.3143,1.3143,0.0,4
04-26-2004,1.319,1.3224,1.3044,1.3078,1.3078,0.0,0
04-27-2004,1.3077,1.3105,1.2953,1.298,1.298,0.0,1
04-28-2004,1.2985,1.3097,1.296,1.3061,1.3061,0.0,2
04-29-2004,1.3061,1.3098,1.2891,1.2923,1.2923,0.0,3
04-30-2004,1.2924,1.3008,1.2886,1.294,1.294,0.0,4
05-03-2004,1.294,1.3026,1.2938,1.3013,1.3013,0.0,0
05-04-2004,1.3013,1.3014,1.2799,1.281,1.281,0.0,1
05-05-2004,1.2811,1.2813,1.271,1.2753,1.2753,0.0,2
05-06-2004,1.2752,1.2861,1.2735,1.2847,1.2847,0.0,3
05-07-2004,1.2845,1.3028,1.2813,1.2988,1.2988,0.0,4
05-10-2004,1.3007,1.3071,1.2967,1.2992,1.2992,0.0,0
05-11-2004,1.2994,1.3079,1.295,1.295,1.295,0.0,1
05-12-2004,1.2953,1.3007,1.2874,1.2935,1.2935,0.0,2
05-13-2004,1.2939,1.3081,1.2898,1.3041,1.3041,0.0,3
05-14-2004,1.304,1.306,1.2942,1.2969,1.2969,0.0,4
05-17-2004,1.2955,1.2967,1.2708,1.2753,1.2753,0.0,0
05-18-2004,1.2753,1.2847,1.2742,1.2834,1.2834,0.0,1
05-19-2004,1.283,1.2846,1.2754,1.2788,1.2788,0.0,2
05-20-2004,1.279,1.2911,1.278,1.2852,1.2852,0.0,3
05-21-2004,1.2853,1.2865,1.2723,1.279,1.279,0.0,4
05-24-2004,1.2805,1.2868,1.2759,1.2797,1.2797,0.0,0
05-25-2004,1.2796,1.2807,1.2666,1.2728,1.2728,0.0,1
05-26-2004,1.2728,1.2737,1.2656,1.2714,1.2714,0.0,2
05-27-2004,1.2715,1.2734,1.2434,1.2442,1.2442,0.0,3
05-28-2004,1.2442,1.2546,1.2428,1.2517,1.2517,0.0,4
05-31-2004,1.2493,1.2548,1.2487,1.2531,1.2531,0.0,0
06-01-2004,1.2531,1.2569,1.2454,1.2463,1.2463,0.0,1
06-02-2004,1.2463,1.2511,1.241,1.25,1.25,0.0,2
06-03-2004,1.25,1.2533,1.2457,1.25,1.25,0.0,3
06-04-2004,1.25,1.2537,1.2375,1.2393,1.2393,0.0,4
06-07-2004,1.2361,1.2395,1.2347,1.2362,1.2362,0.0,0
06-08-2004,1.236,1.2423,1.2321,1.2381,1.2381,0.0,1
06-09-2004,1.2379,1.2567,1.2367,1.2555,1.2555,0.0,2
06-10-2004,1.2553,1.2574,1.2428,1.245,1.245,0.0,3
06-11-2004,1.2451,1.2606,1.2446,1.2597,1.2597,0.0,4
06-14-2004,1.2635,1.266,1.2541,1.2552,1.2552,0.0,0
06-15-2004,1.2552,1.2623,1.2472,1.2486,1.2486,0.0,1
06-16-2004,1.2487,1.2698,1.2476,1.2676,1.2676,0.0,2
06-17-2004,1.2676,1.2683,1.2498,1.2546,1.2546,0.0,3
06-18-2004,1.2547,1.2619,1.242,1.2435,1.2435,0.0,4
06-21-2004,1.2448,1.2494,1.243,1.2452,1.2452,0.0,0
06-22-2004,1.2453,1.2537,1.2451,1.2482,1.2482,0.0,1
06-23-2004,1.2482,1.257,1.2429,1.2534,1.2534,0.0,2
06-24-2004,1.2532,1.2572,1.2404,1.2443,1.2443,0.0,3
06-25-2004,1.2445,1.2526,1.2429,1.247,1.247,0.0,4
06-28-2004,1.2472,1.2551,1.2437,1.2489,1.2489,0.0,0
06-29-2004,1.2489,1.2672,1.2478,1.2644,1.2644,0.0,1
06-30-2004,1.2644,1.266,1.2482,1.2504,1.2504,0.0,2
07-01-2004,1.2504,1.2561,1.2473,1.249,1.249,0.0,3
07-02-2004,1.2489,1.2516,1.2304,1.2332,1.2332,0.0,4
07-05-2004,1.2287,1.2373,1.2287,1.2349,1.2349,0.0,0
07-06-2004,1.2348,1.2382,1.231,1.2366,1.2366,0.0,1
07-07-2004,1.2366,1.2368,1.2255,1.2266,1.2266,0.0,2
07-08-2004,1.2265,1.2304,1.2235,1.2244,1.2244,0.0,3
07-09-2004,1.2243,1.2291,1.2215,1.2225,1.2225,0.0,4
07-12-2004,1.2227,1.2257,1.2207,1.2248,1.2248,0.0,0
07-13-2004,1.225,1.2388,1.2246,1.2355,1.2355,0.0,1
07-14-2004,1.2355,1.237,1.2255,1.2293,1.2293,0.0,2
07-15-2004,1.2294,1.2398,1.2286,1.2364,1.2364,0.0,3
07-16-2004,1.2363,1.2387,1.2231,1.2246,1.2246,0.0,4
07-19-2004,1.2247,1.231,1.2238,1.2292,1.2292,0.0,0
07-20-2004,1.2292,1.2461,1.2269,1.2434,1.2434,0.0,1
07-21-2004,1.2436,1.2574,1.2411,1.2495,1.2495,0.0,2
07-22-2004,1.2495,1.253,1.2446,1.2481,1.2481,0.0,3
07-23-2004,1.2481,1.2676,1.2476,1.2659,1.2659,0.0,4
07-26-2004,1.266,1.2677,1.2591,1.265,1.265,0.0,0
07-27-2004,1.265,1.2772,1.26,1.2749,1.2749,0.0,1
07-28-2004,1.2749,1.2793,1.2717,1.2763,1.2763,0.0,2
07-29-2004,1.2762,1.2835,1.2718,1.281,1.281,0.0,3
07-30-2004,1.281,1.2826,1.2696,1.2813,1.2813,0.0,4
08-02-2004,1.2776,1.2805,1.2688,1.2799,1.2799,0.0,0
08-03-2004,1.2799,1.2829,1.2756,1.2791,1.2791,0.0,1
08-04-2004,1.2791,1.2853,1.2731,1.2749,1.2749,0.0,2
08-05-2004,1.2749,1.2792,1.2731,1.2754,1.2754,0.0,3
08-06-2004,1.2753,1.277,1.2494,1.2505,1.2505,0.0,4
08-09-2004,1.2526,1.2568,1.251,1.2539,1.2539,0.0,0
08-10-2004,1.2539,1.263,1.2493,1.2617,1.2617,0.0,1
08-11-2004,1.2617,1.2641,1.2589,1.2613,1.2613,0.0,2
08-12-2004,1.2613,1.2615,1.2522,1.2571,1.2571,0.0,3
08-13-2004,1.2571,1.2625,1.2378,1.2383,1.2383,0.0,4
08-16-2004,1.2377,1.2449,1.2375,1.2406,1.2406,0.0,0
08-17-2004,1.2407,1.2474,1.2382,1.2447,1.2447,0.0,1
08-18-2004,1.2449,1.2505,1.2419,1.244,1.244,0.0,2
08-19-2004,1.244,1.2458,1.24,1.2423,1.2423,0.0,3
08-20-2004,1.2423,1.253,1.2405,1.249,1.249,0.0,4
08-23-2004,1.2521,1.2708,1.2508,1.2682,1.2682,0.0,0
08-24-2004,1.2682,1.2747,1.2664,1.2714,1.2714,0.0,1
08-25-2004,1.2715,1.2761,1.2697,1.273,1.273,0.0,2
08-26-2004,1.2729,1.2776,1.271,1.2725,1.2725,0.0,3
08-27-2004,1.2726,1.2843,1.2696,1.2784,1.2784,0.0,4
08-30-2004,1.2816,1.2847,1.2765,1.2797,1.2797,0.0,0
08-31-2004,1.2795,1.28,1.2634,1.2667,1.2667,0.0,1
09-01-2004,1.2667,1.2669,1.2565,1.2602,1.2602,0.0,2
09-02-2004,1.2604,1.2646,1.258,1.2613,1.2613,0.0,3
09-03-2004,1.2613,1.2723,1.2585,1.2714,1.2714,0.0,4
09-06-2004,1.2706,1.2717,1.2692,1.2706,1.2706,0.0,0
09-07-2004,1.2708,1.2719,1.2658,1.2678,1.2678,0.0,1
09-08-2004,1.268,1.2788,1.2594,1.2594,1.2594,0.0,2
09-09-2004,1.2592,1.2656,1.2577,1.2577,1.2577,0.0,3
09-10-2004,1.2578,1.2623,1.2524,1.2573,1.2573,0.0,4
09-13-2004,1.2556,1.2616,1.2555,1.2585,1.2585,0.0,0
09-14-2004,1.2586,1.2634,1.255,1.2575,1.2575,0.0,1
09-15-2004,1.2575,1.2712,1.2569,1.2694,1.2694,0.0,2
09-16-2004,1.2694,1.2742,1.2657,1.2679,1.2679,0.0,3
09-17-2004,1.2683,1.2722,1.2658,1.2676,1.2676,0.0,4
09-20-2004,1.2703,1.2772,1.27,1.2721,1.2721,0.0,0
09-21-2004,1.2719,1.2731,1.2522,1.2537,1.2537,0.0,1
09-22-2004,1.2536,1.265,1.2535,1.2596,1.2596,0.0,2
09-23-2004,1.2596,1.2619,1.2544,1.2603,1.2603,0.0,3
09-24-2004,1.2604,1.2644,1.2514,1.2603,1.2603,0.0,4
09-27-2004,1.2603,1.2645,1.2579,1.2597,1.2597,0.0,0
09-28-2004,1.2597,1.2628,1.2559,1.2596,1.2596,0.0,1
09-29-2004,1.2598,1.2634,1.257,1.2585,1.2585,0.0,2
09-30-2004,1.2584,1.2608,1.2445,1.2455,1.2455,0.0,3
10-01-2004,1.2456,1.2516,1.245,1.2494,1.2494,0.0,4
10-04-2004,1.2505,1.2673,1.2505,1.2644,1.2644,0.0,0
10-05-2004,1.2643,1.2663,1.2597,1.2617,1.2617,0.0,1
10-06-2004,1.2615,1.2676,1.2611,1.2655,1.2655,0.0,2
10-07-2004,1.2653,1.2657,1.2615,1.2626,1.2626,0.0,3
10-08-2004,1.2627,1.2636,1.2467,1.2504,1.2504,0.0,4
10-11-2004,1.2495,1.2525,1.2487,1.2507,1.2507,0.0,0
10-12-2004,1.2507,1.2603,1.2502,1.256,1.256,0.0,1
10-13-2004,1.2563,1.2655,1.251,1.2519,1.2519,0.0,2
10-14-2004,1.252,1.2543,1.2431,1.2439,1.2439,0.0,3
10-15-2004,1.2439,1.2451,1.2316,1.2333,1.2333,0.0,4
10-18-2004,1.2327,1.2352,1.2266,1.2323,1.2323,0.0,0
10-19-2004,1.232,1.2365,1.228,1.229,1.229,0.0,1
10-20-2004,1.229,1.2308,1.2171,1.2219,1.2219,0.0,2
10-21-2004,1.2219,1.2225,1.2151,1.2173,1.2173,0.0,3
10-22-2004,1.2173,1.2206,1.2093,1.2095,1.2095,0.0,4
10-25-2004,1.2055,1.2057,1.194,1.1956,1.1956,0.0,0
10-26-2004,1.1956,1.2044,1.1924,1.2009,1.2009,0.0,1
10-27-2004,1.2009,1.2083,1.1957,1.207,1.207,0.0,2
10-28-2004,,,,,,,3
10-29-2004,1.207,1.2105,1.1938,1.1951,1.1951,0.0,4
11-01-2004,1.1919,1.2045,1.1917,1.2023,1.2023,0.0,0
11-02-2004,1.2022,1.2113,1.2009,1.2054,1.2054,0.0,1
11-03-2004,1.2054,1.2117,1.1928,1.1941,1.1941,0.0,2
11-04-2004,1.1942,1.1961,1.1846,1.1879,1.1879,0.0,3
11-05-2004,1.1879,1.1988,1.1753,1.1768,1.1768,0.0,4
11-08-2004,1.1782,1.1832,1.1756,1.182,1.182,0.0,0
11-09-2004,1.1819,1.1852,1.1797,1.1835,1.1835,0.0,1
11-10-2004,1.1836,1.1857,1.1715,1.1823,1.1823,0.0,2
11-11-2004,1.1825,1.1832,1.1758,1.1776,1.1776,0.0,3
11-12-2004,1.1776,1.1811,1.1692,1.1701,1.1701,0.0,4
11-15-2004,1.17,1.1813,1.1699,1.1796,1.1796,0.0,0
11-16-2004,1.1796,1.1811,1.1732,1.1754,1.1754,0.0,1
11-17-2004,1.1754,1.1766,1.1609,1.1622,1.1622,0.0,2
11-18-2004,1.1623,1.173,1.1602,1.1716,1.1716,0.0,3
11-19-2004,1.1718,1.172,1.1582,1.1601,1.1601,0.0,4
11-22-2004,1.1619,1.1641,1.1598,1.1631,1.1631,0.0,0
11-23-2004,1.163,1.1694,1.156,1.1572,1.1572,0.0,1
11-24-2004,1.1571,1.1583,1.1445,1.1453,1.1453,0.0,2
11-25-2004,1.1455,1.1466,1.1378,1.14,1.14,0.0,3
11-26-2004,1.14,1.1477,1.1333,1.1387,1.1387,0.0,4
11-29-2004,1.1411,1.147,1.1385,1.1432,1.1432,0.0,0
11-30-2004,1.1432,1.1456,1.1335,1.1395,1.1395,0.0,1
12-01-2004,1.1394,1.1444,1.1352,1.1405,1.1405,0.0,2
12-02-2004,1.1405,1.1553,1.1366,1.1526,1.1526,0.0,3
12-03-2004,1.1525,1.1528,1.1297,1.1297,1.1297,0.0,4
12-06-2004,1.1311,1.1425,1.131,1.1414,1.1414,0.0,0
12-07-2004,1.1413,1.1415,1.1343,1.1404,1.1404,0.0,1
12-08-2004,1.1403,1.1617,1.1402,1.1485,1.1485,0.0,2
12-09-2004,1.1484,1.1561,1.1469,1.1509,1.1509,0.0,3
12-10-2004,1.151,1.1677,1.1509,1.1607,1.1607,0.0,4
