Date,Open,High,Low,Close,Adj Close,Volume,Weekday
12-01-2003,1.203398,1.204007,1.194401,1.196501,1.196501,0.0,0
12-02-2003,1.196101,1.210903,1.1946,1.208897,1.208897,0.0,1
12-03-2003,1.209,1.213003,1.2077,1.212298,1.212298,0.0,2
12-04-2003,1.212004,1.214403,1.204398,1.208094,1.208094,0.0,3
12-05-2003,1.207802,1.219096,1.206593,1.218695,1.218695,0.0,4
12-08-2003,1.216797,1.224005,1.215407,1.222001,1.222001,0.0,0
12-09-2003,1.222105,1.227702,1.219795,1.224995,1.224995,0.0,1
12-10-2003,1.224905,1.226603,1.216205,1.219096,1.219096,0.0,2
12-11-2003,1.219096,1.223496,1.212298,1.222404,1.222404,0.0,3
12-12-2003,1.222703,1.230603,1.2213,1.227898,1.227898,0.0,4
12-15-2003,1.218695,1.232499,1.217804,1.231997,1.231997,0.0,0
12-16-2003,1.231406,1.235895,1.230497,1.232195,1.232195,0.0,1
12-17-2003,1.231997,1.242005,1.229997,1.240202,1.240202,0.0,2
12-18-2003,1.240202,1.244199,1.236598,1.242298,1.242298,0.0,3
12-19-2003,1.242205,1.243503,1.235102,1.238497,1.238497,0.0,4
12-22-2003,1.235697,1.244601,1.235697,1.239895,1.239895,0.0,0
12-23-2003,1.239895,1.267202,1.238804,1.240003,1.240003,0.0,1
12-24-2003,1.240095,1.247194,1.240003,1.245299,1.245299,0.0,2
12-25-2003,1.245702,1.247007,1.244307,1.244803,1.244803,0.0,3
12-26-2003,1.245004,1.2471,1.242699,1.243194,1.243194,0.0,4
12-29-2003,1.243394,1.250797,1.242993,1.248393,1.248393,0.0,0
12-30-2003,1.248595,1.256297,1.248299,1.254894,1.254894,0.0,1
12-31-2003,1.255004,1.264894,1.253007,1.259002,1.259002,0.0,2
01-01-2004,1.259002,1.260796,1.247396,1.258194,1.258194,0.0,3
01-02-2004,1.258194,1.262802,1.252693,1.258194,1.258194,0.0,4
01-05-2004,1.263903,1.269406,1.263695,1.268698,1.268698,0.0,0
01-06-2004,1.268907,1.280803,1.267202,1.272103,1.272103,0.0,1
01-07-2004,1.272394,1.273999,1.262499,1.264095,1.264095,0.0,2
01-08-2004,1.264095,1.278707,1.256502,1.277498,1.277498,0.0,3
01-09-2004,1.277498,1.286703,1.271294,1.285892,1.285892,0.0,4
01-12-2004,1.284802,1.289707,1.273804,1.274096,1.274096,0.0,0
01-13-2004,1.274405,1.279705,1.271892,1.278593,1.278593,0.0,1
01-14-2004,1.278805,1.278805,1.240602,1.265102,1.265102,0.0,2
01-15-2004,1.265599,1.267106,1.256897,1.260097,1.260097,0.0,3
01-16-2004,1.260001,1.261002,1.2364,1.239803,1.239803,0.0,4
01-19-2004,1.238697,1.242406,1.234004,1.235407,1.235407,0.0,0
01-20-2004,1.235102,1.260208,1.234995,1.258907,1.258907,0.0,1
01-21-2004,1.258099,1.266994,1.256597,1.265903,1.265903,0.0,2
01-22-2004,1.265807,1.274892,1.264494,1.272508,1.272508,0.0,3
01-23-2004,1.272394,1.277596,1.257008,1.258305,1.258305,0.0,4
01-26-2004,1.257498,1.261098,1.246106,1.248798,1.248798,0.0,0
01-27-2004,1.248595,1.265999,1.244694,1.263695,1.263695,0.0,1
01-28-2004,1.263408,1.264398,1.242005,1.244199,1.244199,0.0,2
01-29-2004,1.244106,1.252693,1.237103,1.241003,1.241003,0.0,3
01-30-2004,1.241003,1.248502,1.235498,1.246805,1.246805,0.0,4
02-02-2004,1.247598,1.248206,1.239603,1.243302,1.243302,0.0,0
02-03-2004,1.253793,1.256108,1.2505,1.253494,1.253494,0.0,1
02-04-2004,1.254595,1.256108,1.2505,1.253997,1.253997,0.0,2
02-05-2004,1.253793,1.2636,1.252395,1.257197,1.257197,0.0,3
02-06-2004,1.257008,1.272605,1.251894,1.270002,1.270002,0.0,4
02-09-2004,1.265502,1.275705,1.265502,1.269406,1.269406,0.0,0
02-10-2004,1.269293,1.278707,1.267395,1.268504,1.268504,0.0,1
02-11-2004,1.268295,1.284703,1.265807,1.283005,1.283005,0.0,2
02-12-2004,1.283302,1.284703,1.279607,1.281805,1.281805,0.0,3
02-13-2004,1.281706,1.288992,1.272508,1.272799,1.272799,0.0,4
02-16-2004,1.272993,1.279001,1.2722,1.276503,1.276503,0.0,0
02-17-2004,1.276406,1.287797,1.276308,1.285793,1.285793,0.0,1
02-18-2004,1.286306,1.292207,1.266592,1.272508,1.272508,0.0,2
02-19-2004,1.272896,1.276699,1.265999,1.275705,1.275705,0.0,3
02-20-2004,1.275803,1.276096,1.250297,1.254202,1.254202,0.0,4
02-23-2004,1.250094,1.259398,1.245702,1.257197,1.257197,0.0,0
02-24-2004,1.257197,1.2711,1.252897,1.267797,1.267797,0.0,1
02-25-2004,1.267893,1.270406,1.248393,1.249703,1.249703,0.0,2
02-26-2004,1.250094,1.251799,1.239695,1.244803,1.244803,0.0,3
02-27-2004,1.244803,1.250704,1.238099,1.249407,1.249407,0.0,4
03-01-2004,1.253903,1.254107,1.242993,1.244803,1.244803,0.0,0
03-02-2004,1.245004,1.245004,1.220301,1.220405,1.220405,0.0,1
03-03-2004,1.220197,1.222001,1.206899,1.219096,1.219096,0.0,2
03-04-2004,1.219393,1.224095,1.2143,1.220703,1.220703,0.0,3
03-05-2004,1.220495,1.242699,1.217997,1.236797,1.236797,0.0,4
03-08-2004,1.236507,1.242607,1.234598,1.242607,1.242607,0.0,0
03-09-2004,1.242607,1.246401,1.228697,1.231906,1.231906,0.0,1
03-10-2004,1.242607,1.246401,1.220703,1.223197,1.223197,0.0,2
03-11-2004,1.223197,1.238007,1.217404,1.235102,1.235102,0.0,3
03-12-2004,1.234995,1.235407,1.217893,1.222404,1.222404,0.0,4
03-15-2004,1.221404,1.231406,1.2213,1.227205,1.227205,0.0,0
03-16-2004,1.226904,1.237195,1.224605,1.226106,1.226106,0.0,1
03-17-2004,1.226001,1.229196,1.218294,1.222703,1.222703,0.0,2
03-18-2004,1.222703,1.241897,1.222599,1.238896,1.238896,0.0,3
03-19-2004,1.238697,1.240695,1.226407,1.226904,1.226904,0.0,4
03-22-2004,1.227702,1.239603,1.222703,1.234598,1.234598,0.0,0
03-23-2004,1.234598,1.236996,1.227295,1.234507,1.234507,0.0,1
03-24-2004,1.234598,1.236996,1.211094,1.213902,1.213902,0.0,2
03-25-2004,1.214005,1.219706,1.2108,1.213695,1.213695,0.0,3
03-26-2004,1.213799,1.221001,1.209,1.212695,1.212695,0.0,4
03-29-2004,1.211402,1.217004,1.206505,1.216604,1.216604,0.0,0
03-30-2004,1.216604,1.222599,1.215599,1.218502,1.218502,0.0,1
03-31-2004,1.218205,1.232195,1.217597,1.2313,1.2313,0.0,2
04-01-2004,1.231194,1.238497,1.225896,1.236507,1.236507,0.0,3
04-02-2004,1.236598,1.237195,1.2108,1.2129,1.2129,0.0,4
04-05-2004,1.211504,1.212606,1.198998,1.201302,1.201302,0.0,0
04-06-2004,1.201793,1.214595,1.198897,1.213106,1.213106,0.0,1
04-07-2004,1.213003,1.219795,1.205894,1.216604,1.216604,0.0,2
04-08-2004,1.216397,1.221702,1.206695,1.2077,1.2077,0.0,3
04-09-2004,1.207904,1.211299,1.206695,1.208605,1.208605,0.0,4
04-12-2004,1.209102,1.209599,1.205807,1.207307,1.207307,0.0,0
04-13-2004,1.207307,1.208299,1.191001,1.193802,1.193802,0.0,1
04-14-2004,1.193503,1.197304,1.187705,1.1947,1.1947,0.0,2
04-15-2004,1.1946,1.198998,1.189994,1.198696,1.198696,0.0,3
04-16-2004,1.198796,1.204805,1.193104,1.200293,1.200293,0.0,4
04-19-2004,1.201995,1.207802,1.200293,1.200696,1.200696,0.0,0
04-20-2004,1.198796,1.201995,1.182802,1.184806,1.184806,0.0,1
04-21-2004,1.184806,1.191199,1.182103,1.181,1.181,0.0,2
04-22-2004,1.180693,1.193104,1.179106,1.192506,1.192506,0.0,3
04-23-2004,1.192293,1.193902,1.180206,1.185003,1.185003,0.0,4
04-26-2004,1.180094,1.188693,1.176498,1.186197,1.186197,0.0,0
04-27-2004,1.186296,1.1946,1.183698,1.192905,1.192905,0.0,1
04-28-2004,1.193104,1.194401,1.182802,1.184301,1.184301,0.0,2
04-29-2004,1.184301,1.198495,1.180805,1.196001,1.196001,0.0,3
04-30-2004,1.1959,1.200495,1.192905,1.198294,1.198294,0.0,4
05-03-2004,1.1994,1.199803,1.192506,1.193602,1.193602,0.0,0
05-04-2004,1.193602,1.211695,1.193503,1.210507,1.210507,0.0,1
05-05-2004,1.210507,1.217804,1.2102,1.215894,1.215894,0.0,2
05-06-2004,1.215894,1.217493,1.206899,1.2077,1.2077,0.0,3
05-07-2004,1.207802,1.208693,1.187493,1.188001,1.188001,0.0,4
05-10-2004,1.189499,1.189499,1.1816,1.184596,1.184596,0.0,0
05-11-2004,1.184596,1.189103,1.179607,1.188199,1.188199,0.0,1
05-12-2004,1.188001,1.194101,1.183796,1.190505,1.190505,0.0,2
05-13-2004,1.190703,1.193104,1.177995,1.180401,1.180401,0.0,3
05-14-2004,1.180401,1.1894,1.178898,1.188199,1.188199,0.0,4
05-17-2004,1.189499,1.205894,1.188199,1.202501,1.202501,0.0,0
05-18-2004,1.2024,1.203804,1.193602,1.194501,1.194501,0.0,1
05-19-2004,1.194401,1.203905,1.194401,1.200394,1.200394,0.0,2
05-20-2004,1.200394,1.201403,1.190094,1.1957,1.1957,0.0,3
05-21-2004,1.1959,1.206797,1.1957,1.202805,1.202805,0.0,4
05-24-2004,1.200106,1.202501,1.193902,1.199904,1.199904,0.0,0
05-25-2004,1.199803,1.212606,1.198796,1.210097,1.210097,0.0,1
05-26-2004,1.210097,1.214005,1.208795,1.211094,1.211094,0.0,2
05-27-2004,1.211006,1.228607,1.209307,1.227596,1.227596,0.0,3
05-28-2004,1.227295,1.229407,1.220703,1.221807,1.221807,0.0,4
05-31-2004,1.224005,1.2245,1.218205,1.219899,1.219899,0.0,0
06-01-2004,1.219899,1.226497,1.215998,1.2245,1.2245,0.0,1
06-02-2004,1.224605,1.230497,1.221001,1.221896,1.221896,0.0,2
06-03-2004,1.221896,1.225205,1.217597,1.222105,1.222105,0.0,3
06-04-2004,1.221896,1.229997,1.218606,1.227506,1.227506,0.0,4
06-07-2004,1.2318,1.234004,1.230906,1.2318,1.2318,0.0,0
06-08-2004,1.232407,1.234995,1.224995,1.226106,1.226106,0.0,1
06-09-2004,1.226196,1.227506,1.202805,1.204297,1.204297,0.0,2
06-10-2004,1.2045,1.211607,1.203297,1.210903,1.210903,0.0,3
06-11-2004,1.210507,1.211094,1.197103,1.201504,1.201504,0.0,4
06-14-2004,1.196802,1.208795,1.1957,1.2062,1.2062,0.0,0
06-15-2004,1.205807,1.217093,1.203398,1.216604,1.216604,0.0,1
06-16-2004,1.216604,1.216797,1.198696,1.200696,1.200696,0.0,2
06-17-2004,1.200495,1.207598,1.199702,1.203398,1.203398,0.0,3
06-18-2004,1.203297,1.214904,1.197806,1.214506,1.214506,0.0,4
06-21-2004,1.213799,1.214595,1.208094,1.212606,1.212606,0.0,0
06-22-2004,1.212503,1.213195,1.207001,1.212195,1.212195,0.0,1
06-23-2004,1.212106,1.219007,1.207307,1.208605,1.208605,0.0,2
06-24-2004,1.208795,1.219007,1.204602,1.217404,1.217404,0.0,3
06-25-2004,1.217093,1.220301,1.211299,1.220301,1.220301,0.0,4
06-28-2004,1.217493,1.222703,1.212797,1.218695,1.218695,0.0,0
06-29-2004,1.218695,1.219096,1.207496,1.209804,1.209804,0.0,1
06-30-2004,1.209497,1.220301,1.206797,1.218398,1.218398,0.0,2
07-01-2004,1.218294,1.220807,1.213902,1.216205,1.216205,0.0,3
07-02-2004,1.216205,1.233,1.214904,1.231103,1.231103,0.0,4
07-05-2004,1.233,1.233198,1.227506,1.229997,1.229997,0.0,0
07-06-2004,1.229997,1.232894,1.227099,1.228501,1.228501,0.0,1
07-07-2004,1.228396,1.238804,1.227807,1.237103,1.237103,0.0,2
07-08-2004,1.236996,1.240295,1.234294,1.239495,1.239495,0.0,3
07-09-2004,1.239695,1.242406,1.237394,1.241897,1.241897,0.0,4
07-12-2004,1.241203,1.243595,1.238697,1.240803,1.240803,0.0,0
07-13-2004,1.240402,1.241203,1.230406,1.233304,1.233304,0.0,1
07-14-2004,1.233304,1.242005,1.232499,1.238497,1.238497,0.0,2
07-15-2004,1.238497,1.239203,1.233502,1.235605,1.235605,0.0,3
07-16-2004,1.235804,1.245997,1.233304,1.245594,1.245594,0.0,4
07-19-2004,1.245501,1.246401,1.240495,1.243998,1.243998,0.0,0
07-20-2004,1.243797,1.245594,1.230996,1.233395,1.233395,0.0,1
07-21-2004,1.233502,1.234903,1.221493,1.226302,1.226302,0.0,2
07-22-2004,1.226106,1.228999,1.2239,1.225595,1.225595,0.0,3
07-23-2004,1.225806,1.226693,1.209204,1.209599,1.209599,0.0,4
07-26-2004,1.2108,1.217004,1.209307,1.213902,1.213902,0.0,0
07-27-2004,1.214196,1.219007,1.204007,1.206404,1.206404,0.0,1
07-28-2004,1.206302,1.207904,1.200999,1.204398,1.204398,0.0,2
07-29-2004,1.204602,1.209497,1.199803,1.203804,1.203804,0.0,3
07-30-2004,1.203804,1.211607,1.200495,1.201605,1.201605,0.0,4
08-02-2004,1.204195,1.209395,1.201995,1.202198,1.202198,0.0,0
